2022-09-13,Tipp,"Hast du Wünsche für das neue Schuljahr? Eine Wunschliste jetzt zu erstellen, wäre gar nicht so schlecht! Am Ende des Schuljahrs kannst du mit dieser Liste checken, ob all deine Wünsche in Erfüllung gegangen sind."
2022-09-14,Zitat,"„Wenn Sie möchten, dass Ihre Kinder intelligent sind, lesen Sie ihnen Märchen vor. Wenn Sie möchten, dass sie intelligenter sind, lesen Sie ihnen mehr Märchen vor.“"
2022-09-15,Fun Fact,"Das älteste Märchen der Welt ist Der Schmied und der Teufel, das in den Grimm’schen Kinder- und Hausmärchen nur in der Erstauflage stand. Seine Entstehung wird auf die Zeit vor 6000 Jahren datiert."
2022-09-16,Zitat,Märchen sind für Jeden. - Walt Disney
2022-09-17,,
2022-09-18,,
2022-09-19,Vorschlag,"Beauty and the Beast - Ariana Grande, John Legend (2017, Soundtrack)"
2022-09-20,Vorschlag,We are Young – fun. ft. Janelle Monáe
2022-09-21,Zitat,"„Ich möcht' die ganze Welt für mich erfahren, ich möcht' viel mehr als ich jetzt fühlen. Vielleicht wird's mir so ergehen, dass mich jemand wird verstehen. Ich möcht' so viel mehr als schon geschehen."" - Die Schöne und das Biest"
2022-09-22,Fun Fact,"Der Titelsong von Beauty and the Beast (1991) bekam 1992 den „Best Original Song“ Oscar. Doch das war nur ein Oscar von drei. Auch „Belle“, das Eröffnungslied und „Be our Guest“ waren ebenfalls nominiert. Es muss echt hart gewesen sein für die zwei anderen Autoren der Kategorie: „When you’re Alone“ von Hook und „(Everything I Do) I do it for you“ von Robin Hood: Prince of Thieves."
2022-09-23,Zitat,"„Sie warnte ihn sich nicht täuschen zu lassen, da man die Schönheit im Verborgenen findet.“ - Die Schöne und das Biest"
2022-09-24,,
2022-09-25,,
2022-09-26,Vorschlag,"Circle of Life - Carmen Twillie, Lebo M."
2022-09-27,Zitat,"„Oh ja, die Vergangenheit kann weh tun. Aber wie ich es sehe, läuft man entweder davon, oder man lernt davon."" - Der König der Löwen"
2022-09-28,Fun Fact,"Das beliebteste Märchen für Mädchen ist Aschenputtel, für Jungen ist Hänsel und Gretel."
2022-09-29,Zitat,"„Du erkennst irgendwann, was uns keiner nehmen kann. Wir sind mehr als wir sind, wir sind eins."" - Der König der Löwen"
2022-09-30,Vorschlag,We’re all in this together – High School Musical (Soundtrack)
2022-10-01,,Diesen Monat dreht sich alles um einen kleinen Jungen mit langer Nase – Pinocchio. Filmtipp: Pinocchio (2019) Eine Puppe erwacht auf wundersame Weise zum Leben und ist von nun an der Sohn des Holzschnitzers Gepetto.
2022-10-02,,   
2022-10-03,Fun Fact,Die Katze Figaro aus Pinocchio war Walt Disneys Lieblingscharakter!
2022-10-04,Witz,Bei welchem Arzt ist Pinocchio in Behandlung? Beim Holz-Nasen-Ohrenarzt.
2022-10-05,Tipp,"Stehe morgens 15 Minuten früher auf, dann hast du einen entspannteren Start in den Tag "
2022-10-06,Witz,"Warum wächst Donald Trumps Haar so schnell? Weiß ich auch nicht, Pinocchio hat aber dasselbe Problem mit der Nase."
2022-10-07,Quiz,"Wer hat Pinocchio geschnitzt? A Geppetto, B Gottschalk, C Gustav Antwort: A"
2022-10-08,Vorschlag,"Tassenkuchen 6 EL Mehl mit 3 EL Kakaopulver, 1/4 TL Backpulver, 2 EL Zucker und einer Prise Salz in die Tasse geben. Kurz miteinander vermischen. 6 EL Milch, 3 EL Öl und 1 EL NussNougat-Creme hinzugeben. Mit einer Gabel gut vermischen. Tasse für 2,5 min. bei ca. 600 Watt in die Mikrowelle stellen. Fertig !"
2022-10-09,,
2022-10-10,Fun Fact,"Für den Spielfilm brauchte man mehr als 18 Monate, um das Aussehen von Pinocchio perfekt zu animieren."
2022-10-11,Witz,"Voldemort zu Pinocchio: „Also ich muss nur lügen, oder?“"
2022-10-12,Tipp,Lüge nicht. Es wird deine Probleme nicht lösen. 
2022-10-13,Fun Fact,Die Katze Figaro aus Pinocchio weißt Charakterzüge eines verwöhnten Kindes auf.
2022-10-14,Tipp,"Forschungen zufolge blickt ein Mensch nach links, wenn er die Wahrheit sagt. Lügt er, bewegen sich seine Augen nach rechts."
2022-10-15,Vorschlag,"Bananenkuchen Backofen auf 200 Grad Ober-/Unterhitze vorheizen. 125g Butter, 125g Zucker und 2 Eier schaumig rühren. 2 Bananen zerdrücken, darunter rühren. 175g Mehl und ½ Pck. Backpulver vermischen und unter die Masse rühren. Ein kleines Backblech einfetten und den Teig darauf streichen. In ca. 15 - 20 Min. goldbraun backen."
2022-10-16,,
2022-10-17,Fun Fact,Der Film Pinocchio gewann 2 Oskars.
2022-10-18,Witz,"Was tut ein Beamter, der in der Nase bohrt? Er holt das letzte aus sich heraus."
2022-10-19,Tipp,"Ein Zeichen, um Lügen aufzudecken, sind untypische Sprache und Handbewegungen"
2022-10-20,Fun Fact ,"Bei Männern wächst die Nase die ersten 17 bis 19 Jahre, während die Nase bei Frauen bis zu einem Alter von 15 bis 17 Jahren wächst."
2022-10-21,Fun Fact ,Die Nasenform wird durch die Stellung der unteren und oberen seitlichen Knorpel und Nasenbeine bedingt.
2022-10-22,Witz,Warum essen Blondinen keine Bananen? Sie finden den Reisverschluss nicht.
2022-10-23,, 
2022-10-24,Fun Fact,Beim Niesen werden Reizstoffe mit einer Geschwindigkeit von über 160 km/h ausgestoßen
2022-10-25,Witz,Wie bricht man einer Blondine die Nase? Man legt 50€Euro unter einen Glastisch.
2022-10-26,Fun Fact,Frauen verfügen über einen stärkeren Geruchssinn als Männer.
2022-10-27,Witz,Was bellt und schnäuzt die Nase? Ein Rotzweiler.
2022-10-28,Fun Fact,Dieser Beitrag wurde am 4. Juli 2022 um 15.00 Uhr erstellt. 
2022-10-29,Vorschlag,"HaferflockenKäse-Bratlinge 1 Zwiebel in Würfel schneiden und mit 250 g Haferfl ocken, 200g Käse, 250ml Milch und 2 Eier vermengen. Mit Salz, Pfeffer und Paprikapulver abschmecken. Die Masse ca. 20 - 30 Minuten ziehen lassen. Frikadellen formen und in einer Pfanne in etwas Öl langsam braun braten. Dazu schmeckt ein gemischter Salat"
2022-10-30,Ferien,
2022-10-31,Ferien,
2022-11-01,Ferien,
2022-11-02,Ferien,
2022-11-03,Ferien,
2022-11-04,Ferien,
2022-11-05,Vorschlag,"20 Maronen einkaufen, an der flachen Unterseite leicht ein Kreuz einschneiden und 5 Minuten in warmes Wasser legen. Danach 15 Minuten im Backofen bei 200°C backen, herausholen, abkühlen und genießen"
2022-11-06,,
2022-11-07,Quiz,"Um welches Märchen geht es im November? Vervollständige folgendes Zitat und du findest es heraus: „Ach, wie gut, dass niemand weiß, dass ich … heiß Antwort: Rumpelstilzchen "
2022-11-08,Tipp," Der Name Rumpelstilzchen deutet auf einen kleinwüchsigen Dämon, einen „Stilz“ hin, der auf seinem einem Bein wie auf einer Stelze oder Stütze steht. "
2022-11-09,Fun Fact,"in Süddeutschland nennt man jemanden, der gerade sehr sauer ist und schreit, Rumpelstilzchen. Kennt ihr ein Rumpelstilzchen? "
2022-11-10,Tipp,"Es gibt ein spezielles Pulver, mit dem man ein Lagerfeuer in verschiedenen Farben leuchten lassen kann. Die sogenannten Feuerfarben sind ganz einfach z.B. bei Amazon zu bestellen. "
2022-11-11,Fun Fact," Die meisten Märchen beginnen mit „Es war einmal …“ und enden mit „Und wenn sie nicht gestorben sind, dann leben sie noch heute“. "
2022-11-12,Vorschlag,"Mache mit deinen Freunden ein Lagerfeuer. Hole Holz und lege es in eine Feuerschale, frag deine Eltern, ob sie es dir anzünden können und mach dir vielleicht noch ein leckeres Stockbrot dazu."
2022-11-13,,
2022-11-14,Witz,Welche Süßigkeiten essen Bösewichte? Schurkolade! 
2022-11-15,Zitat,"„Heute back ich, morgen brau ich und übermorgen hol ich der Königin ihr Kind.“ - Rumpelstilzchen "
2022-11-16,Fun Fact,"Die kleinste Frau der Welt ist 0,63 Meter groß und lebt in Indien."
2022-11-17,Tipp,"Drachensteigen lassen! Einfach einen Drachen schnappen, auf eine windige Wiese gehen und steigen lassen. Macht super viel Spaß"
2022-11-18,Fun Fact,Die Gebrüder Grimm haben Rumpelstilzchen und 200 weitere Märchen geschrieben.
2022-11-19,Vorschlag,"Nimm dir eine Picknickdecke, mach dir einen Tee, füll ihn in eine Thermoskanne, schnapp dir noch ein paar Snacks und mach ein Picknick mit Freunden. Viel Spaß! "
2022-11-20,,
2022-11-21,Fun Fact,"Der kleinste Mann der Welt ist 0,54 Meter groß.  "
